format,title,topic,description,authors,published_date,publisher,URL
bachelorThesis,Estudo da manutenção da autoridade docente: uma perspectiva da comunicação não-violenta,"Comunicação não-violenta, Autoridade docente, Afetividade, Comunicação na educação, Sala de aula, Ensino médio, Relação professor-aluno","O presente trabalho tem como tema a investigação da manutenção da autoridade docente em sala de aula. O objetivo é compreender como se dá o processo de formação da autoridade moral do professor, em função das relações sociais entre professor e aluno, assim como as emoções envolvidas, através da visão de professores do Ensino Médio do Estado do Rio de Janeiro. Tendo em vista que as relações sociais são baseadas na comunicação, principalmente no ambiente escolar, se faz necessário compreender como a mesma afeta as relações sociais presentes. A escolha do tema se deu devido à situações vivenciadas durante as disciplinas de Pesquisa e Prática de Ensino, na qual pode-se observar uma relação entre professor e aluno, baseada no medo por parte dos discentes e comportamento autoritário por parte do docente. Pensando nessas situações e o estado atual de pandemia de COVID-19, optou-se por realizar entrevistas semi-estruturadas com dois professores através de chamadas de vídeo, para buscar compreender como eles lidavam com relação de autoridade que eles possuem, com o respeito que tinham por parte dos alunos, através da visão dos professores. Buscando na literatura, foi escolhida a teoria da Comunicação Não-violenta (CNV), proposta por Marshall B. Rosenberg, no qual se trata das comunicações do ser humano como um todo, principalmente as relações hierárquicas, como do patrão e empregado, assim como professor e aluno, utilizando principalmente desta como um referencial teórico para analisar, através da fala do professor, os pontos que vão de encontro ou destoam com a CNV. Desse modo, esta monografia mostra aos futuros professores formas de lidar com algumas situações envolvendo seus futuros alunos ao exercer seu papel de professor em sala de aula, fazendo um paralelo entre as experiências dos professores entrevistados e as teorias apresentadas. Assim, considera-se que a comunicação entre professor e aluno, pode possuir um papel importante para que a manutenção da autoridade moral do docente, seja realizada de forma saudável, sem afetar negativamente nenhum dos dois lados. Também é importante ressaltar que através das análises realizadas, foi possível perceber a existência de uma afetividade na relação entre professor e aluno, que podem contribuir para a manutenção da autoridade docente e, consequentemente, uma melhor relação social na sala de aula.","['Samagaio, Lucas Lopes']",2020,,https://app.uff.br/riuff/handle/1/22426
bachelorThesis,Promoção de saúde mental infantil no ambiente escolar: experiências em comunicação não violenta,"Escola, Saúde mental, Infância, Comunicação, Violência, Suicídio","Este estudo tem três objetivos principais que se relacionam diretamente e constantemente. São eles: Relacionar o tema de saúde mental infantil com o ambiente escolar; Apresentar a abordagem de Comunicação Não-Violenta como estratégia de intervenção que visa promover saúde mental na escola; Debater artigos científicos que relatam a aplicação prática da CNV no ambiente escolar. Assim sendo, esta pesquisa se propôs a realizar um levantamento da literatura brasileira sobre a aplicação prática da abordagem de Comunicação Não-Violenta no ambiente escolar. As obras selecionadas a partir do levantamento foram organizadas em fichas padrão de organização, denominadas “Ficha de Leitura”, essas mesmas foram seguidas de observações autorais e para posterior debate e relação com a questão cerne desse trabalho que é: “Como a abordagem de Comunicação Não-Violenta pode atuar em intervenções no ambiente escolar a fim de promover saúde mental infantil?”. A análise processada à luz dos resultados observados permite constatar que as intervenções práticas com a abordagem de Comunicação Não-Violenta trouxeram diversos benefícios, tanto para os ambientes quanto para a relação entre os membros que os ocupam. Dentre esses benefícios está, a transformação do espaço em um local onde a criança sabe que será ouvida, acolhida, tratada com carinho e respeito, além disso, fornece às crianças ferramentas para lidarem melhor com as adversidades, contribui para o desenvolvimento da empatia e da solidariedade, auxilia o aluno no reconhecimento e , e na nomeação de seus sentimentos e encoraja-os a dividirem esses mesmos e contribui para o processo de autoconhecimento das crianças. Conclui-se então que essa abordagem de comunicação se relaciona de forma potente e coesa com a promoção de saúde mental infantil, quando desenvolvida dentro do ambiente escolar.","['Stein, Eduarda Schallenberger']",2020,,http://hdl.handle.net/10183/224070
article,Environmental educational practices in training children's educators,"Infâncias, Formação, Educadores, Linguagens, Bioecologia, Childhood, Formation, Educators, Languages, Bioecology","Having a focus on the systemic perspective the permanent training of environmental childhood educators can bring a powerful multidisciplinary relationship between languages and children's education. The aim of this study is to investigate the environmental educational practices of childhood educators and their perspectives based on experiences in multiple contexts and cultures. The research is qualitative whose theoretical basis is the intertwining of concepts of the Biology of Knowledge and the Bioecology of Human Development. Ecological Engagement was the methodology through which the researcher included himself in the spaces of training to design the communication and reflection workshops. They were inspired in Non-Violent Communication. The analysis of information production was done with the support of the Sobek tool. Therefore the educational trajectories are mobilized by the possibility of conversation (action). Thus, the contribution of a bioecological view and the experiential proposal of educational environmental practices influence the constitution of children seducators.","['Piske, Eliane Lima', 'Garcia, Narjara Mendes', 'Yunes, Maria Angela Mattar']",2020-10-05,Universidade Federal de Minas Gerais,https://periodicos.ufmg.br/index.php/textolivre/article/view/25698
masterThesis,Cultura de paz e resolução positiva de conflitos: replicagem da metodologia TDH na Unidade Lar Fabiano de Cristo – Casa Rodolfo Aureliano,"Cultura de paz, Resolução positiva de conflito, Replicagem metodológica da TDH","Esta pesquisa tem como objetivo a replicagem da metodologia desenvolvida pela Fundação Terre des Hommes para redução de conflitos e violências em contextos educacionais da educação formal e não formal, através da resolução positiva de conflitos e cultura de paz na unidade Lar Fabiano de Cristo – Casa Rodolfo Aureliano, em Recife. Atendemos aos dois objetivos específicos propostos, a saber: “Mapear os conflitos e violências no ambiente socioeducativo, e o modo como os gestores, profissionais, educandos e famílias lidam com tais situações”. E, ainda, “Analisar a receptividade da comunidade educativa frente às formações recebidas com base na metodologia da Fundação Terre des Hommes, em uma aplicação experimental”. Como referencial teórico, utilizamos a “comunicação não violenta” (CNV) e suas aplicações para aprimorar relacionamentos e estabelecer alternativas pacíficas à violência, de Marshall Rosenberg (2006); o enfoque de Paulo Freire (1987), com a emancipação através do diálogo e suas contribuições para a Cultura de Paz; e a “importância do aprendizado do convívio” no enfoque de Xesús Jares (2007); e, os princípios básicos da teoria de Kay Pranis (2011), com suas aplicações teóricopráticas através dos “círculos de paz” e “círculos restaurativos”. Metodologicamente, trata-se de uma pesquisa de natureza empírica quanto aos procedimentos, e utiliza como instrumento de coleta de dados a “observação assistemática” e as “entrevistas individuais”. Quanto à técnica de análise e interpretação dos dados, faz uso do método da “análise de conteúdo”, para compreender o pensamento dos entrevistados através do que foi por eles expresso. A pesquisa se justifica por constatarmos uma abordagem insuficiente dessa temática na grade curricular dos educadores. Propomo-nos a enfrentar tal problema a partir de sensibilizações e formações iniciais e continuadas destes profissionais, de tal forma que fosse possível contribuir com a redução do fenômeno da violência e a gestão autônoma das situações de conflitos junto à comunidade educativa, fazendo uma transição da cultura da violência para a cultura de paz.","['FEITOSA, Joenilda Alves']",2020-08-28,Universidade Federal de Pernambuco,https://repositorio.ufpe.br/handle/123456789/38982
article,Furando ondas para a qualificação dos gerentes de Unidades Básicas de Saúde,"Atenção Primária à Saúde, Gestão em saúde, Educação a distância, Tutoria","RESUMO Este manuscrito apresenta uma narrativa de tutores de diferentes estados do Brasil sobre a experiência do exercício da tutoria, no período de 2016 a 2018, no âmbito de um curso de aperfeiçoamento de modalidade semipresencial direcionado a gestores de Unidades Básicas de Saúde. Um dos grandes desafios da atenção à saúde constitui-se na qualificação de gestores para atuação no Sistema Único de Saúde. Aos gerentes de Unidades Básicas de Saúde, são necessárias competências de gestão clínica e do cuidado para que sejam produzidos modos efetivos de fazer saúde de maneira colaborativa e efetiva. Os processos de gestão na esfera da atenção básica requerem o uso de ferramentas que possibilitem a adoção de outros modos de ser gerente, como o processo circular, a comunicação não violenta, o fluxograma descritor, o projeto terapêutico singular, além da valorização das tecnologias relacionais para a qualificação dos processos de gestão. Constata-se a capacidade do curso para a ativação de mudanças na qualificação de profissionais para o exercício da gestão de unidades básicas, haja vista o seu potencial de provocar deslocamentos de olhares, posições e saberes no que concerne à função de gerência.","['Prata,Luzia Maria da Guia Malta', 'Santos,Elzimar Palhano dos', 'Polido,Rosiane de Araújo Ferreira', 'Souza,Ândrea Cardoso de']",2019-01-01,Centro Brasileiro de Estudos de Saúde,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0103-11042019001100154
masterThesis,A relevância da reflexão crítica para o desenvolvimento de soft skills: análise de uma experiência de formação de líderes,"soft skills, reflexão crítica, aprendizagem transformadora, educação corporativa, desenvolvimento de gestores, incidentes críticos, CNPQ::CIENCIAS SOCIAIS APLICADAS","This dissertation is part of the field of studies on critical reflection in the work environment, addressing its importance for the development of soft skills. Using action research as a research strategy, the study aimed to describe and analyze managers' narratives about their experiences after participating in a program of development of soft skills based on the assumptions of critical reflection. The theoretical reference made a historical recovery on the changes that occurred in the organizational context throughout the industrial revolutions; outlined training and development practices in corporate education programs; and discussed, in the light of theories of critical reflection and transformative learning, the question of the need for soft skills with critical reflection in order to stimulate their improvement within the formative spaces of organizations. To carry out the study, a development proposal was prepared for eleven managers, according to the action-research cycle, over a period of four months, divided into six meetings. Critical reflection was stimulated by reflexive talk wheels, requested reflexive dials, and critical incidents. Emerging issues related to management dilemmas, non-violent communication and values.The trajectory of analysis was constructed from these subjects as markers of meanings of the reflexive experience, being the communication the main soft skill impacted. The results point to advances that indicate that managers engaged in the experience, reviewed their leadership role and, in some cases, broke away from a pattern of behavior, seeking new ways of acting. From the point of view of limitations, although managers revealed a change in how they communicated with their team and reproduced the format of reflective encounters in the conduct of their work with subordinates, the experience had no impact on senior managers and there was no process of institutionalization of the experience to guarantee its continuity. It can be concluded that the stimulus to critical reflection in the corporate environment presents a significant potential for the transformation of the actions of the managers, in the sense of making them more open and permeable to change, developing soft skills related to their role of leader. As a contribution, the results bring relevant elements to the discussion about the importance of the institutionalization of critical reflection within the corporate training spaces and presents a critical-reflexive professional development proposal that can inspire researchers and professionals in the human resources area of companies.","['Lemos, Vanessa Angioletti Ferreira']",2019-08-22,Universidade Presbiteriana Mackenzie,http://dspace.mackenzie.br/handle/10899/23691
conferenceObject,Anais do I simpósio de direito consensual UNIPÊ,"Direito consensual, Direito civil, CNPQ::CIENCIAS SOCIAIS APLICADAS::DIREITO","The I SYMPOSIUM OF CONSENSUAL LAW UNIPÊ was held on November 21 2019, at the UNIPÊ Auditorium, is the result of a partnership between the project to extend the UNIPÊ Law Course, Educational Methodologies to prevent and solve conflicts MECON and the Study Group on Arbitration, Mediation and Foreign Trade - GEACE, is the continuation of an extension work aimed at the realization of the consensual law, an interdisciplinary event that seeks to aggregate the different branches of knowledge, including open to all UNIPÊ courses. The thematic axes of the 1st Symposium dealt with conciliation, mediation, arbitration, negotiation and other methods. The speakers brought topics of great relevance as: Application of the Theory of Negotiation in the management of labor conflicts, by the Judge of Labor at PB, Dr. Paulo Henrique Tavares; Judicial family measurement and extrajudicial, by the psychologist Dr. Ângela Fernandes; Negotiation in the management of interests business, by Lawyer Dr. André Cabral; Advocate in mediation, by the Conciliator Dra. Dulce Nascimento; Nonviolent Communication as an effective means of solving conflicts, by the President of the OAB / PB Conciliation and Mediation Commission, Djamere de Sousa B. Leite and Systemic Law - Family Constellation, by the Prosecutor in Pernambuco Dr. Fabiana Machado. In addition to a workshop on Arbitration with the Arbitration and Trade Study Group abroad, the event opened registrations for all courses for works related to thematic consensuals be published and the abstracts submitted could be in the form of POSTER and or BANNER. The themes chosen this year for the lectures and presentations of the projects of extension are relevant and current issues for society, cross-cutting issues that are communicate when analyzed from the perspective of the right of consensus that gains space formerly occupied by demand law and litigation, the axis of the right line and development. Extension workers played an important role as protagonists, in the company of invited speakers, as well as the students who signed up to present work at the event, resulting in these Proceedings with summaries of the various themes of consensus rather than the litigation that have been put forward. It is important to note that in addition to stimulate extension and research, the I CONSENSUAL LAW SYMPOSIUM had the purpose of bringing to UNIPÊ's academic community the experiences and knowledge acquired by extension workers from MECON and the study group GEACE, through the themes and lectures given by the students themselves in the presentation oral works. The debate and research on consensual law has an essential role to reflect on the decrease in the volume of cases in the courts, less conflictive and more democratic, highlighting the role that society has in protecting these rights, contributing to the eradication of violence in the domestic environment, in strengthening the need to put oneself in the other's place, in a respectful way to communicate, recognizing the different ways of resolving conflicts of the most varied orders. And, again, it was from these values ​​that the event provided 5 studies and reflections on the subjects explored. The event also had its supportive role, non-perishable foods were collected from the subscribers, which were delivered by the extension workers to the underprivileged community of the Taipa neighborhood, in the city of João Pessoa - PB. The annals of this symposium bring together the production of the works presented that generated discussions and expansion of knowledge on the topics addressed. The review of published texts and their content are the responsibility of the authors.","['Almeida, Leilah Luahnda Gomes de; Cabral, Diego Domiciano Vieira Costa; Gonçalves Filho,Victor Hugo Martins; Silva Neto,Vicente Carlos da; Toscano, Antônio']",2019-11-21,Centro Universitário de João Pessoa,https://repositorio.cruzeirodosul.edu.br/handle/123456789/1871
conferenceObject,Anais do I simpósio de direito consensual UNIPÊ,"CNPQ::CIENCIAS SOCIAIS APLICADAS::DIREITO, Direito consensual, Direito civil","O I SIMPÓSIO DE DIREITO CONSENSUAL UNIPÊ foi realizado em 21 de novembro de 2019, no Auditório UNIPÊ, é resultado de uma parceria entre o projeto de extensão do Curso de Direito do UNIPÊ, Metodologias Educacionais para prevenir e solucionar conflitos MECON e o Grupo de Estudos em Arbitragem, Mediação e Comércio Exterior - GEACE, é a continuidade de um trabalho extensionista voltado para a efetivação do direito consensual, um evento interdisciplinar que busca agregar os diversos ramos de conhecimento, inclusive aberto para todos os cursos do UNIPÊ. Os eixos temáticos do I Simpósio trataram sobre a conciliação, a mediação, a arbitragem, a negociação e outros métodos. Os palestrantes trouxeram temas de grande relevância como: Aplicação da Teoria da Negociação na gestão de conflitos trabalhistas, pelo Juiz do Trabalho na PB, Dr. Paulo Henrique Tavares; Medição familiar judicial e extrajudicial, pela psicóloga Dra. Ângela Fernandes; Negociação na gestão de interesses empresariais, pelo Advogado Dr. André Cabral; Advogar na mediação, pela Conciliadora Dra. Dulce Nascimento; Comunicação Não Violenta como meio eficaz para solução de conflitos, pela Presidente da Comissão de Conciliação e mediação da OAB/PB, Djamere de Sousa B. Leite e o Direito Sistêmico - Constelação Familiar, pela Promotora de Justiça em Pernambuco Dra.Fabiana Machado. Além de workshop em Arbitragem com o Grupo de estudos em arbitragem e comércio exterior, o evento abriu inscrições para todos os cursos para trabalhos ligados as temáticas consensuais serem publicadas e os resumos inscritos poderiam ser na modalidade de PÔSTER e ou BANNER. As temáticas escolhidas esse ano para as palestras e as apresentações dos projetos de extensão são assuntos relevantes e atuais para a sociedade, assuntos transversais que se comunicam quando analisados sob a ótica do direito do consenso que ganha o espaço antes ocupado pelo direito demandista e do litígio, eixo da linha direito e desenvolvimento. Os extensionistas tiveram um papel importante de protagonistas, em companhia dos palestrantes convidados, bem como dos discentes que se inscreveram para apresentar trabalhos no evento, resultando nesses Anais com os resumos dos diversos temas de consenso ao invés do litígio que foram apresentados. Importante ressaltar que além de estimular a extensão e a pesquisa, o I SIMPÓSIO DE DIREITO CONSENSUAL teve a finalidade de trazer para a comunidade acadêmica do UNIPÊ as experiências e conhecimentos adquiridos pelos extensionistas do MECON e do grupo de estudos GEACE, através dos temas e palestras realizados pelos próprios discentes na apresentação dos trabalhos orais. O debate e a pesquisa sobre o direito consensual tem papel essencial para refletir sobre a diminuição de volumes de processos nos tribunais, relações menos conflituosas e mais democráticas, evidenciando o papel que a sociedade tem na proteção desses direitos, contribuindo para erradicação da violência em ambiente doméstico, em especial fortalecendo a necessidade de colocar-se no lugar do outro, na forma respeitosa de se comunicar, no reconhecimento das diversas formas de solucionar conflitos das mais variadas ordens. E, mais uma vez, foram a partir desses valores que o evento propiciou 5 estudos e reflexões dos assuntos explorados. O evento também teve seu papel solidário, foram arrecadados alimentos não perecíveis dos inscritos, os quais foram entregues pelos extensionistas à comunidade carente do bairro do Taipa, da cidade de João Pessoa - PB. Os anais desse simpósio reúnem a produção dos trabalhos apresentados que geraram discussões e ampliação do conhecimento sobre as temáticas abordadas. A revisão dos textos publicados e o seu conteúdo são de responsabilidade dos autores.","['Almeida, Leilah Luahnda Gomes de; Cabral, Diego Domiciano Vieira Costa; Gonçalves Filho,Victor Hugo Martins; Silva Neto,Vicente Carlos da; Toscano, Antônio']",2019-11-21,Centro Universitário de João Pessoa,https://repositorio.cruzeirodosul.edu.br/handle/123456789/1871
masterThesis,Ferramentas organizacionais da convivialidade : aproximações de Ivan Illich aos estudos organizacionais,"Illich, Ivan, 1926-2002, Estudos organizacionais, Ferramentas, Comunicação administrativa, Non-violent communication, Tool, Organizational studies","A obra de Ivan Illich (1926-2002) apresenta importantes contribuições para o entendimento da modernidade. Nas sociedades industriais, o consumo obrigatório de bens ou serviços gera contraprodutividade por necessidade técnica. Isto se dá pelo estrangulamento da esfera autônoma (convivial) de produção em desproporção que confere predominância à esfera heteronômica (industrial). Estas desmedidas ocorrem por meio das ferramentas utilizadas nas sociedades e da topografia mental que definirá uma tendência geral, definida de maneira sócio-histórica, da relação das pessoas com tais ferramentas. Ferramenta é todo meio pelo qual as pessoas podem expressar seus fins. Atualmente há uma tendência de reversão na relação homem-ferramenta, esta desmedida gera uma nova topografia mental na qual a distalidade é apagada e substituída por uma lógica de funcionamento de sistemas, o que impede ou dificulta a convivialidade. Busca-se avaliar o caráter mitopoiético de procedimentos organizacionais sob o conceito de ferramenta organizacional. A partir do debate contemporâneo em torno do Decrescimento, avalia-se o caráter das relações suscitadas pela ferramenta organizacional, buscando cultivar uma consciência crítica do poder simbólico das tecnologias modernas, levando-se em conta o ambiente no qual a ferramenta é empregada. Para tanto, apresenta-se um estudo de caso de práticas em torno da Comunicação Não- Violenta na cidade de Porto Alegre.","['Freitas, Nilo Coradini de']",2019,,http://hdl.handle.net/10183/197890
bachelorThesis,Inteligência emocional em processos seletivos - A percepção de alunos do curso de Administração da UFF/Niterói,"Inteligência emocional, Administração, Comunicação não-violenta, Administração, Emotional intelligence, Business, Non-violent communication","Este trabalho objetiva discutir se a formação dos alunos do curso de Administração da UFF-Niterói se mostra suficiente na preparação para os processos seletivos obrigatórios desde os estágios até vida profissional dos indivíduos. A universidade tem como dever preparar seus alunos para o mercado de trabalho e pode fazer isso de forma mais humanizada e condizente com as exigências, possibilitando maior inserção profissional. O desenvolvimento da inteligência emocional deveria ser parte integrante da formação acadêmica. Uma das possibilidades de fortalecê-la seria o uso da comunicação não-violenta como prática cotidiana nas aulas e uma mudança de postura na relação aluno-professor. Neste contexto, foi realizada pesquisa de campo com aplicação de um questionário aos alunos do curso para analisar os sentimentos e percepções de preparação deles para processos seletivos. Também foram consultados profissionais de Recursos Humanos que atuam com seleção de estagiários para se conhecer suas percepções sobre o mesmo assunto. O estudo permitiu concluir que o desenvolvimento da inteligência emocional dos discentes ainda é insuficiente na sua formação acadêmica","['Zanetti, Marina Soares']",2018,Niterói,https://app.uff.br/riuff/handle/1/8680
bachelorThesis,Um estudo sobre a violência escolar: caminhos de superação da violência escolar através da comunicação não violenta,"Violência, Violência simbólica, Comunicação Não Violenta, Indisciplina, Empatia, Violência na escola, Comunicação, Conflito, Violence, Symbolic Violence, Nonviolent Communication, Indiscipline, Empathy","Este trabalho é fruto de estudo através de revisões bibliográficas sobre a violência escolar na perspectiva de pensamento de diversos autores. Foram identificadas diversas correntes defendidas por estes autores, demonstrando as diferenciações conceituais utilizadas ao trabalharem o tema. Comprovando diversas características da violência na escola, sendo ela no fator físico, psicológico, social e familiar. Os vetores mais apontados pelos autores como forma de violência são as indisciplinas, a falta de diálogo entre os alunos e os docentes, a discriminação, a criminalidade, a falta de respeito, os julgamentos moralizadores, ameaças e problemas familiares. Assim compreendendo as fontes da violência na ruptura de comunicação em situação de conflito e como a Comunicação Não Violenta (CNV) nas escolas é uma possibilidade de solucionar o problema proporcionando assim uma melhor fala e escuta. Ajudando a ter clareza do que precisa ser mudado e quais estratégias precisam ser executadas para então ter uma melhor relação pessoal no ambiente escolar, ou seja, como a empatia pode facilitar a comunicação entre as pessoas","['Silva, Kamilly Vieira Cardoso da']",2018,,https://app.uff.br/riuff/handle/1/10563
bachelorThesis,Comunicação não-violenta e processos circulares : uma experiência escolar,"Etnografia, Conflito","O objetivo desse estudo é investigar como os processos circulares de construção de paz e as práticas da comunicação não-violenta podem se expressar no espaço escolar, refletindo sobre as suas potencialidades e fragilidades; e a forma como influenciam as relações estabelecidas entre os sujeitos que constituem esse ambiente. Utilizei a etnografia como inspiração para a metodologia e as observações participantes como ferramenta. Foram três meses de observações na escola municipal Heitor Villa-Lobos, onde começaram a ser desenvolvidas algumas novas abordagens de métodos escolares, principalmente nas formas de comunicação. A partir dessa investigação, foram produzidos registros em um diário de campo, os quais são utilizados como base das reflexões e análises desse trabalho. Com essas metodologias em curso na escola, foi possível identificar mudanças na prática pedagógica das professoras que participaram mais ativamente do grupo de estudos de comunicação não-violenta e foram criadas alternativas no manejo de conflitos e nas questões relativas à comunicação entre os indivíduos que trabalham na escola.","['Faller, Elisa']",2018,,http://hdl.handle.net/10183/181450
bachelorThesis,"Pequenas compaixões, grandes transformações","Afetividade, Comunicação não violenta, Práticas pedagógicas, Arte - estudo e ensino, Ambiente escolar, Artes cênicas - ensino","Trabalho de Conclusão de Curso (graduação)—Universidade de Brasília, Instituto de Artes, Departamento de Artes Cênicas, 2018.","['Rodrigues, Anandda Shaya Forte']",,,https://bdm.unb.br/handle/10483/24589
masterThesis,Acompanhamento psicossocial a homens autores de violência contra as mulheres: retrato de um serviço,"Violência contra a mulher., Violência de gênero., Grupos focais., Violence against women;, Gender-based violence;, Focus groups., Psicologia Social","Os grupos de acompanhamento psicossocial a homens autores de violência contra as mulheres, preconizados pela Lei Maria da Penha no contexto brasileiro, estão em crescimento e têm sido formulados a fim de enfrentar e combater essa realidade. Nesse sentido, mostra-se importante avaliar os serviços e programas que ofertam esse tipo de acompanhamento, buscando aprimoramentos e melhorias. O objetivo desta Dissertação foi compreender a dinâmica de um serviço de acompanhamento psicossocial para homens autores de violência contra as mulheres em termos de características, demandas, desafios e potencialidades dessa intervenção. A Dissertação está dividida em dois estudos exploratórios amparados na abordagem qualitativa de pesquisa, ambos desenvolvidos em um serviço na região administrativa do Distrito Federal (DF). O Estudo 1, de corte longitudinal, teve como objetivo compreender as percepções sobre a participação no grupo por homens autores de violência contra as mulheres. Foram entrevistados individualmente, pré e pós-grupo, 20 homens que participaram da intervenção. Além disso, dez sessões grupais foram acompanhadas pela pesquisadora, com registros em diário de campo. A análise do corpus foi realizada a partir do modelo bioecológico do desenvolvimento, com apoio da literatura sobre gênero. Observou-se que o grupo se apresentou como lugar de acolhimento e escuta para o homem, possibilitando construção de novas formas de subjetivação, socialização e sociabilidade masculinas para possíveis ressignificações de suas trajetórias e narrativas de vida. Os homens perceberam a participação como positiva e notou-se mudança de olhares e discursos no que diz respeito à violência, às relações conjugais, à Lei Maria da Penha e à participação no grupo. O Estudo 2 objetivou compreender como os profissionais que coordenam esses grupos avaliam o serviço. Foram entrevistados quatro integrantes da equipe profissional. As entrevistas, assim como no Estudo 1, foram submetidas à análise temática e interpretadas pelo modelo bioecológico e literatura de gênero. Os profissionais compreenderam a violência contra as mulheres como um fenômeno que sofre influências principalmente da cultura (macrossistema), a partir do momento que tanto homens quanto mulheres crescem sendo educadas(os) a reproduzirem as diferenças de poder nas relações. Tais diferenças, aliadas às dificuldades em lidar e saber expressar sentimentos, desejos e sofrimentos dos sujeitos, fazem com que os conflitos acabem sendo resolvidos pela via da violência. A equipe percebeu suas atuações de forma positiva, apesar das dificuldades que o programa enfrentou e compreendeu a participação dos homens no grupo como essencial na busca pelo enfrentamento dessa realidade. Por fim, de modo geral, percebeu-se que a participação no grupo (microssistema) gerou reflexão dos homens acerca dos temas propostos, possibilitando mudanças atitudinais que podem refletir em transformações nos diversos outros microssistemas que o homem está inserido, tais como a família e a relação conjugal. Este espaço se apresentou como ferramenta importante na desconstrução de ideias machistas, sexistas e de um modelo de masculinidade rígido, hegemônico e heteronormativo, legitimador de violência, ao mesmo tempo que tentou oferecer espaço de escuta, cuidado, reflexão e aprendizagem.","['OLIVEIRA, Juliana de']",2018-07-19,Universidade Federal do Triângulo Mineiro,http://bdtd.uftm.edu.br/handle/tede/804
masterThesis,A justiça restaurativa no sistema socioeducativo: análise de uma experiência,"Socioeducação, Justiça restaurativa, Roda de conversa, Raça, Social education, Restorative justice, Teenagers/Young people, Race","O presente trabalho consiste em analisar a experiência das Rodas de Conversa como prática socioeducativa à luz dos princípios da Justiça Restaurativa e Comunicação Não-Violenta. Essa experiência valorizou o potencial e o protagonismo de jovens-adolescentes, ao buscar ultrapassar os rótulos e a identidade fechada de “infrator”, ao procurar “identificar suas necessidades”, “fomentar o diálogo e o entendimento” e comprometida em promover a “cura” (ZEHR, 2008, p. 199) de relações que foram quebradas no momento do ato “infracional” ou que já estavam quebradas anteriormente. Essa foi uma experiência realizada durante o ano de 2016, com um universo de vinte e três jovens-adolescentes em cumprimento de medida socioeducativa de internação no estado do Rio de Janeiro, envolvendo uma unidade feminina e uma masculina. O exercício de fala e de escuta, exercitados ao longo de treze encontros, culminou na participação de representantes do grupo de jovens-adolescentes, na condição de palestrantes, em dois seminários realizados pelo DEGASE, direcionados a profissionais e pesquisadores. Nesses espaços, os jovens-adolescentes compartilharam suas experiências e percepções sobre a socioeducação. A presente investigação buscou evidenciar os saberes que emergem desta prática transformadora, com ênfase na promoção humana dos seus destinatários","['Vidal, Lívia de Souza']",2017,,https://app.uff.br/riuff/handle/1/15311
article,CORRELAÇÕES ENTRE A JUSTIÇA RESTAURATIVA E A COMUNICAÇÃO NÃO VIOLENTA COM A EDUCAÇÃO,Comunicação Não Violenta. Direitos Humanos. Educação. Justiça Restaurativa.,"O presente artigo objetiva analisar a relação entre a Justiça Restaurativa (JR) e a Justiça Retributiva (JR), sob o olhar da Comunicação Não Violenta (CNV). Esta análise se faz presente porque as premissas fundamentais da Justiça Restaurativa podem ser alocadas em situações cotidianas de foro mais casual, mas sem que ocorram todos os aspectos da formalidade jurídica. Assim, a Comunicação Não Violenta pode ser empregada em ambientes nos quais ocorram relações sociais na família, na escola, na justiça, no trabalho e outras, mediadas por pessoas conscientes de seu papel conciliador. A Justiça Restaurativa e a Mediação de Conflitos são práticas recentes e se tornam propostas inovadoras para a conciliação de conflitos, como também corroboram para a melhoria da qualidade de vida relacional das pessoas e da democracia.","['Castro, Denilson Barbosa de', 'Martins, Paulo Fernando de Melo']",2016-06-29,ESCOLA SUPERIOR DA MAGISTRATURA TOCANTINENSE - ESMAT,http://esmat.tjto.jus.br/publicacoes/index.php/revista_esmat/article/view/42
bachelorThesis,Um Olhar Interdisciplinar sobre a Convivência Escolar no Centro Educacional Marista Lúcia Mayvorne: protagonizando uma prática de educação não-violenta,"escola, relacionamentos interpessoais, justiça restaurativa, justiça comunitária",TCC(graduação) - Universidade Federal de Santa Catarina. Centro de Ciências Jurídicas. Direito.,"['Krieger, João Victor Antunes']",2016-06-11,"Florianópolis, SC",https://repositorio.ufsc.br/xmlui/handle/123456789/166542
bachelorThesis,DDDança: desafios da gestão compartilhada,"Dança, Gestão compartilhada, Política Pública, Rede, DDDança","Este trabalho trata de uma teia de ações cogestionada pelos Artistas da Dança de Pernambuco e o poder público. Aborda alguns desafios políticos da dança, dentre eles a questão da especificidade e da autonomia desta linguagem artística. Foca em duas metodologias de gestão compartilhada: Elos e Dragon Dreaming. Aborda algumas ferramentas de gestão colaborativa e abrange as dificuldades do fazer coletivo. O trabalho tem como objetivo promover a reflexão sobre gestão de projetos partindo da comunicação não violenta, celebração e prazer no intuito de fortalecer a rede da dança de Pernambuco e por extensão a do Brasil e a da America Latina. Como conclusão, a ideia é que a formação e o fortalecimento de comunidades autênticas podem transformar a realidade a partir de ferramentas de gestão e comunicação em rede.","['LIMA, MARIA EDUARDA FREYRE MAGALHÃES DA COSTA']",2017-05-02,"Instituto de Humanidades, Artes e Ciências Professor Milton Santos",http://repositorio.ufba.br/ri/handle/ri/22229
